time	group	action
1386343257653	k2	assessmentdisplaybegin
1386343266717	k2	videoplayed
1386343376065	k2	videoplayed
1386343495347	k2	videoplayed
1386343522540	027	loadvideo
1386343534209	k2	videopaused
1386343553147	k2	videoplayed
1386343586673	k2	videopaused
1386343615667	k1	videoplayed
1386343634521	007	videoplayed
1386343673214	007	videopaused
1386343724829	027	videopaused
1386343769519	027	loadvideo
1386343771706	027	videopaused
1386343770766	k1	videopaused
1386343821344	k2	videoplayed
1386344074328	k1	videoplayed
1386344144865	k1	seek_start
1386344144974	k1	seek_end
1386344174277	k1	videopaused
1386344207474	k1	videoplayed
1386344258766	k1	seek_start
1386344258890	k1	seek_end
1386344263508	k1	videopaused
1386344355669	k1	saveannotation assessment
1386344355684	k1	videoplayed
1386344356199	k1	assessmentdisplaybegin
1386344359210	k1	videoplayed
1386344396557	k1	videopaused
1386344401845	k1	seek_start
1386344402297	k1	seek_end
1386344404849	k1	videopaused
1386344436720	k1	videoplayed
1386344438623	k1	seek_start
1386344438732	k1	seek_end
1386344467550	k2	videopaused
1386344539336	k1	saveannotation assessment
1386344539352	k1	videoplayed
1386344539867	k1	assessmentdisplaybegin
1386344541786	k1	videoplayed
1386344571445	k2	videoplayed
1386344701816	k1	seek_start
1386344701941	k1	seek_end
1386344707210	k1	seek_start
1386344707319	k1	seek_end
1386344708988	k1	seek_start
1386344709113	k1	seek_end
1386344711110	k1	seek_start
1386344711219	k1	seek_end
1386344717288	k1	seek_start
1386344717397	k1	seek_end
1386344719160	k1	seek_start
1386344719284	k1	seek_end
1386344725852	k1	videopaused
1386344794151	k2	videopaused
1386344820061	k1	saveannotation assessment
1386344820061	k1	videoplayed
1386344820576	k1	assessmentdisplaybegin
1386344823166	k1	seek_start
1386344823275	k1	seek_end
1386344903200	k1	seek_start
1386344903325	k1	seek_end
1386344901139	k2	videoplayed
1386344935132	k2	videopaused
1386345048521	k1	videopaused
1386345056024	k1	seek_start
1386345056149	k1	seek_end
1386345064918	k1	videopaused
1386345104808	k1	saveannotation assessment
1386345104808	k1	videoplayed
1386345105323	k1	assessmentdisplaybegin
1386345106586	k1	seek_start
1386345106695	k1	seek_end
1386345110237	k1	seek_start
1386345110361	k1	seek_end
1386345112608	k1	seek_start
1386345112733	k1	seek_end
1386345114386	k1	seek_start
1386345114511	k1	seek_end
1386345119035	k1	seek_start
1386345119160	k1	seek_end
1386345123325	k1	seek_start
1386345123450	k1	seek_end
1386345125391	k1	seek_start
1386345125516	k1	seek_end
1386345127575	k1	seek_start
1386345127700	k1	seek_end
1386345129385	k1	seek_start
1386345129510	k1	seek_end
1386345131865	k1	seek_start
1386345131974	k1	seek_end
1386345133285	k1	seek_start
1386345133394	k1	seek_end
1386345138371	k1	seek_start
1386345138480	k1	seek_end
1386345140211	k1	seek_start
1386345140336	k1	seek_end
1386345143066	k1	seek_start
1386345143175	k1	seek_end
1386345159059	k2	videoplayed
1386345196541	k1	videoended
1386345196557	k1	videoended
1386345246770	k1	seek_start
1386345246894	k1	seek_end
1386345366080	k1	saveannotation assessment
1386345366080	k1	videoplayed
1386345366595	k1	assessmentdisplaybegin
1386345592503	007	loadvideo
1386345601463	007	videopaused
1386345627639	007	loadvideo
1386345629860	007	videopaused
1386346710108	k2	videopaused
1386346762798	k2	videoplayed
1386346908233	k2	videopaused
1386346928685	k2	seek_start
1386346928857	k2	seek_end
1386346930479	k2	seek_start
1386346930620	k2	seek_end
1386346932320	k2	seek_start
1386346932507	k2	seek_end
1386347137551	k2	videopaused
1386347162152	k2	videoplayed
1386347196274	k2	videopaused
1386347487098	k2	videoplayed
1386347613117	k2	videopaused
1386347696999	k2	videoplayed
1386348027062	k2	videopaused
1386348105747	k2	videoplayed
1386348144224	k2	videopaused
1386348163397	k2	videoplayed
1386348410523	k2	videopaused
1386348492509	k2	videoplayed
1386348863412	k2	videopaused
1386348909476	k2	videoplayed
1386349016805	k2	videopaused
1386349050225	k2	videoplayed
1386349267101	k2	videoended
1386349267101	k2	videoended
1386349268240	k2	seek_start
1386349269082	k2	seek_end
1386349296830	k2	videopaused
1386349325690	k2	videoplayed
1386349404777	k2	videoended
1386349404777	k2	videoended
1386349509936	k2	loadvideo
1386349617973	k2	videopaused
1386349676535	k2	videoplayed
1386349873178	k2	videopaused
1386349961818	k2	videoplayed
1386350151833	k2	videopaused
1386350678761	k2	videoplayed
1386350868924	k2	videopaused
1386350960887	k2	videoplayed
1386351125509	k2	videopaused
1386355723269	001	loadvideo
1386355747298	001	seek_start
1386355750129	001	seek_end
1386355760075	001	seek_start
1386355761235	001	seek_end
1386355761541	001	videopaused
1386356573935	001	videoplayed
1386356695765	001	seek_start
1386356696659	001	seek_end
1386356710956	001	seek_start
1386356711561	001	seek_end
1386356754563	001	loadvideo
1386356952529	023	loadvideo
1386356965189	023	videopaused
1386357666135	023	videoplayed
1386357675214	023	seek_start
1386357675312	023	seek_end
1386357677737	023	seek_start
1386357677871	023	seek_end
1386357679575	023	seek_start
1386357679983	023	seek_end
1386357703631	k2	videoplayed
1386357806446	023	videopaused
1386357808734	023	videoplayed
1386357918371	023	seek_start
1386357918809	023	seek_end
