time	group	action
1386325854760	layout_decisions2	loadvideo
1386326012353	layout_decisions2	loadvideo
1386326024059	capacity_planing	loadvideo
1386326034903	capacity_planing	seek_start
1386326035638	capacity_planing	seek_end
1386326042755	capacity_planing	seek_start
1386326043375	capacity_planing	seek_end
1386326059057	warehousemanagement	loadvideo
1386327117830	layout_decisions2	videoplayed
1386327243965	layout_decisions2	videopaused
1386327246153	layout_decisions2	seek_start
1386327246309	layout_decisions2	seek_end
1386327288958	layout_decisions2	videopaused
1386327319660	layout_decisions2	saveannotation toc
1386327319666	layout_decisions2	videoplayed
1386327662704	layout_decisions2	videopaused
1386327666538	layout_decisions2	seek_start
1386327667101	layout_decisions2	seek_end
1386327688147	layout_decisions2	videopaused
1386327701165	layout_decisions2	saveannotation toc
1386327701171	layout_decisions2	videoplayed
1386327978230	layout_decisions2	seek_start
1386327978379	layout_decisions2	seek_end
1386327981675	layout_decisions2	seek_start
1386327981893	layout_decisions2	seek_end
1386327996012	layout_decisions2	seek_start
1386327996235	layout_decisions2	seek_end
1386328009229	layout_decisions2	videopaused
1386328011893	layout_decisions2	seek_start
1386328013555	layout_decisions2	seek_end
1386328017973	layout_decisions2	videopaused
1386328039487	layout_decisions2	saveannotation tags
1386328039493	layout_decisions2	videoplayed
1386328032824	layout_decisions2	loadvideo
1386328041104	layout_decisions2	seek_start
1386328041247	layout_decisions2	seek_end
1386328042800	layout_decisions2	seek_start
1386328043021	layout_decisions2	seek_end
1386328045621	layout_decisions2	seek_start
1386328045808	layout_decisions2	seek_end
1386328079614	layout_decisions2	videopaused
1386328080448	layout_decisions2	videoplayed
1386328094889	layout_decisions2	videopaused
1386328097897	layout_decisions2	seek_start
1386328099320	layout_decisions2	seek_end
1386328123631	layout_decisions2	videopaused
1386328144530	layout_decisions2	saveannotation tags
1386328144537	layout_decisions2	videoplayed
1386328146382	layout_decisions2	videopaused
1386328147612	layout_decisions2	clicktagfromlist
1386328149495	layout_decisions2	videopaused
1386328151590	layout_decisions2	clicktagfromlist
1386328153203	layout_decisions2	videopaused
1386328170976	layout_decisions2	saveannotation tags
1386328170981	layout_decisions2	videoplayed
1386328173875	layout_decisions2	seek_start
1386328174032	layout_decisions2	seek_end
1386328177916	layout_decisions2	seek_start
1386328178047	layout_decisions2	seek_end
1386328179999	layout_decisions2	seek_start
1386328180186	layout_decisions2	seek_end
1386328183298	layout_decisions2	seek_start
1386328183482	layout_decisions2	seek_end
1386328185275	layout_decisions2	seek_start
1386328185444	layout_decisions2	seek_end
1386328245962	layout_decisions2	assessmentdisplaybegin
1386328245977	layout_decisions2	assessmentdisplaybegin
1386328245985	layout_decisions2	assessmentdisplaybegin
1386328333383	layout_decisions2	seek_start
1386328333499	layout_decisions2	seek_end
1386328336902	layout_decisions2	seek_start
1386328337028	layout_decisions2	seek_end
1386328338522	layout_decisions2	seek_start
1386328338639	layout_decisions2	seek_end
1386328367866	layout_decisions2	seek_start
1386328367981	layout_decisions2	seek_end
1386328369174	layout_decisions2	seek_start
1386328369303	layout_decisions2	seek_end
1386328370798	layout_decisions2	seek_start
1386328370913	layout_decisions2	seek_end
1386328373095	layout_decisions2	seek_start
1386328373204	layout_decisions2	seek_end
1386328374822	layout_decisions2	seek_start
1386328374942	layout_decisions2	seek_end
1386328376752	layout_decisions2	seek_start
1386328377331	layout_decisions2	seek_end
1386328418658	layout_decisions2	saveannotation toc
1386328418664	layout_decisions2	videoplayed
1386328660639	layout_decisions2	seek_start
1386328662559	layout_decisions2	seek_end
1386328669583	layout_decisions2	seek_start
1386328669766	layout_decisions2	seek_end
1386328673912	layout_decisions2	seek_start
1386328674054	layout_decisions2	seek_end
1386328675277	layout_decisions2	seek_start
1386328675471	layout_decisions2	seek_end
1386328700114	layout_decisions2	videopaused
1386328712106	layout_decisions2	saveannotation toc
1386328712111	layout_decisions2	videoplayed
1386328754598	layout_decisions2	saveannotation toc
1386328754603	layout_decisions2	videopaused
1386328756497	layout_decisions2	clicktocfromlist
1386328760510	layout_decisions2	seek_start
1386328760594	layout_decisions2	seek_end
1386328763894	layout_decisions2	clicktocfromlist
1386328766513	layout_decisions2	clicktocfromlist
1386328769038	layout_decisions2	seek_start
1386328769156	layout_decisions2	seek_end
1386328779875	layout_decisions2	videopaused
1386328796330	layout_decisions2	saveannotation toc
1386328796335	layout_decisions2	videoplayed
1386328939019	layout_decisions2	seek_start
1386328939138	layout_decisions2	seek_end
1386328948655	layout_decisions2	seek_start
1386328948775	layout_decisions2	seek_end
1386328952201	layout_decisions2	seek_start
1386328952336	layout_decisions2	seek_end
1386328969798	layout_decisions2	seek_start
1386328970596	layout_decisions2	seek_end
1386328979751	layout_decisions2	videopaused
1386328983461	layout_decisions2	videoplayed
1386329014518	layout_decisions2	saveannotation toc
1386329014524	layout_decisions2	videoplayed
1386329026239	layout_decisions2	seek_start
1386329026466	layout_decisions2	seek_end
1386329109415	layout_decisions2	seek_start
1386329109523	layout_decisions2	seek_end
1386329118840	layout_decisions2	seek_start
1386329118987	layout_decisions2	seek_end
1386329148750	layout_decisions2	saveannotation toc
1386329148756	layout_decisions2	videoplayed
1386329155985	layout_decisions2	clicktocfromlist
1386329163397	layout_decisions2	seek_start
1386329163520	layout_decisions2	seek_end
1386329189070	layout_decisions2	saveannotation toc
1386329189076	layout_decisions2	videoplayed
1386329252732	layout_decisions2	saveannotation toc
1386329252737	layout_decisions2	videopaused
1386329256018	layout_decisions2	videoplayed
1386329260697	layout_decisions2	seek_start
1386329260857	layout_decisions2	seek_end
1386329262472	layout_decisions2	seek_start
1386329262591	layout_decisions2	seek_end
1386329264278	layout_decisions2	seek_start
1386329264563	layout_decisions2	seek_end
1386329267497	layout_decisions2	seek_start
1386329267542	layout_decisions2	seek_end
1386329269871	layout_decisions2	seek_start
1386329269953	layout_decisions2	seek_end
1386329276722	layout_decisions2	seek_start
1386329276863	layout_decisions2	seek_end
1386329283928	layout_decisions2	seek_start
1386329284046	layout_decisions2	seek_end
1386329286892	layout_decisions2	seek_start
1386329287013	layout_decisions2	seek_end
1386329289747	layout_decisions2	seek_start
1386329289863	layout_decisions2	seek_end
1386329292913	layout_decisions2	seek_start
1386329292995	layout_decisions2	seek_end
1386329295336	layout_decisions2	seek_start
1386329295447	layout_decisions2	seek_end
1386329297730	layout_decisions2	seek_start
1386329297858	layout_decisions2	seek_end
1386329353968	layout_decisions2	videoended
1386329353975	layout_decisions2	videoended
1386332946187	layout_decisions2	loadvideo
1386333050247	layout_decisions2	loadvideo
1386334143407	layout_decisions2	loadvideo
1386334148201	layout_decisions2	videopaused
1386334163547	layout_decisions2	clickassessmentfromlist
1386334164067	layout_decisions2	assessmentdisplaybegin
1386334164909	layout_decisions2	clickassessmentfromlist
1386334165092	layout_decisions2	clickassessmentfromlist
1386334166381	layout_decisions2	clickassessmentfromlist
1386334166592	layout_decisions2	clickassessmentfromlist
1386334199667	layout_decisions2	clickassessmentfromlist
1386334199883	layout_decisions2	clickassessmentfromlist
1386334200100	layout_decisions2	clickassessmentfromlist
1386334200215	layout_decisions2	assessmentdisplaybegin
1386334204265	layout_decisions2	clickassessmentfromlist
1386334206674	layout_decisions2	clickassessmentfromlist
1386334206842	layout_decisions2	assessmentdisplaybegin
1386334213016	layout_decisions2	clickassessmentfromlist
1386334213536	layout_decisions2	clickassessmentfromlist
1386334213779	layout_decisions2	clickassessmentfromlist
1386334214015	layout_decisions2	clickassessmentfromlist
1386334214634	layout_decisions2	clickassessmentfromlist
1386334214876	layout_decisions2	clickassessmentfromlist
1386334215124	layout_decisions2	clickassessmentfromlist
1386334219573	layout_decisions2	videopaused
1386335002843	layout_decisions2	clickassessmentfromlist
1386335003357	layout_decisions2	assessmentdisplaybegin
1386336416880	layout_planing	loadvideo
1386336448220	layout_decisions1	loadvideo
1386336486620	capacity_planing	loadvideo
1386336889472	capacity_planing	loadvideo
1386336909836	capacity_planing	saveannotation assessment
1386336909846	capacity_planing	videoplayed
1386336910358	capacity_planing	assessmentdisplaybegin
1386337048110	capacity_planing	saveannotation comments
1386337048114	capacity_planing	videoplayed
1386337054057	capacity_planing	clickassessmentfromlist
1386337054182	capacity_planing	assessmentdisplaybegin
1386337054293	capacity_planing	clickassessmentfromlist
1386337064720	capacity_planing	videopaused
1386340573933	layout_decisions1	loadvideo
1386340604538	layout_decisions1	seek_start
1386340604631	layout_decisions1	seek_end
1386340663272	layout_decisions1	seek_start
1386340663334	layout_decisions1	seek_end
1386341338095	capacity_planing	loadvideo
1386341358859	capacity_planing	videopaused
1386341375333	capacity_planing	loadvideo
1386341408122	layout_planing	loadvideo
1386341438823	layout_planing	videopaused
1386341503886	layout_planing	videoplayed
1386341642227	location_decision	loadvideo
1386341701390	layout_planing	loadvideo
1386341796018	layout_decisions2	loadvideo
1386341925833	layout_planing	videoplayed
1386342031534	capacity_planing	loadvideo
1386342042407	dist_layout	loadvideo
1386342092524	dist_layout	videopaused
1386342176209	layout_planing	loadvideo
1386342178860	dist_layout	videoplayed
1386342324495	dist_layout	seek_start
1386342324604	dist_layout	seek_end
1386342326585	dist_layout	seek_start
